Site,Plot,Substrate,SA
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,45.02280258
400,0,B,486.879407
400,0,B,486.879407
400,0,B,486.879407
400,0,B,486.879407
400,0,B,486.879407
400,0,B,486.879407
400,0,B,486.879407
400,0,B,486.879407
400,0,B,486.879407
400,0,B,745.58952
400,0,B,945.2812822
400,0,G,38724.85702
400,0,L,113.09724
400,0,L,113.09724
400,0,L,113.09724
400,0,L,113.09724
400,0,L,113.09724
400,0,L,113.09724
400,0,L,471.2385
400,0,W,125.6636
400,0,W,125.6636
400,0,W,125.6636
400,0,W,1225.2201
400,0,W,1319.4678
400,0,W,6031.8528
400,0,W,6283.18
400,18,B,6378.864847
400,18,G,38887.43364
400,18,L,56.54862
400,18,L,56.54862
400,18,L,56.54862
400,18,L,56.54862
400,18,L,56.54862
400,18,L,56.54862
400,18,L,56.54862
400,18,L,56.54862
400,18,L,56.54862
400,18,W,314.159
400,18,W,314.159
400,18,W,314.159
400,18,W,1099.5565
400,18,W,1256.636
400,18,W,2356.1925
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,B,28.11988408
400,24,G,38970.09962
400,24,L,62.8318
400,24,L,62.8318
400,24,L,62.8318
400,24,L,62.8318
400,24,L,62.8318
400,24,L,62.8318
400,24,L,62.8318
400,24,L,62.8318
400,24,L,62.8318
400,24,L,62.8318
400,24,W,62.8318
400,24,W,125.6636
400,24,W,125.6636
400,24,W,125.6636
400,24,W,251.3272
400,24,W,314.159
400,24,W,314.159
400,24,W,314.159
400,24,W,502.6544
400,24,W,967.60972
400,24,W,2073.4494
400,38,G,38999.73456
400,38,L,455.53055
400,38,L,455.53055
400,38,L,455.53055
400,38,L,455.53055
400,38,L,455.53055
400,38,W,314.159
400,38,W,314.159
400,38,W,1130.9724
400,38,W,1432.56504
400,38,W,2356.1925
400,42,G,38178.00887
400,42,L,235.61925
400,42,W,157.0795
400,42,W,157.0795
400,42,W,157.0795
400,42,W,157.0795
400,42,W,157.0795
400,42,W,157.0795
400,42,W,157.0795
400,42,W,989.60085
400,42,W,989.60085
400,42,W,5654.862
400,58,B,2467.575428
400,58,G,39971.72569
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,56.54862
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,L,172.78745
400,58,W,314.159
400,58,W,314.159
400,58,W,314.159
400,58,W,314.159
400,58,W,314.159
400,58,W,942.477
400,58,W,2827.431
400,58,W,7539.816
400,58,W,8011.0545
400,64,G,38027.43364
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,L,196.349375
400,64,W,502.6544
400,64,W,628.318
400,64,W,628.318
400,64,W,628.318
400,64,W,628.318
400,64,W,1256.636
400,64,W,1256.636
400,64,W,2513.272
400,64,W,2513.272
400,78,G,37256.17264
400,78,L,90.3207125
400,78,L,155.508705
400,78,L,155.508705
400,78,L,155.508705
400,78,L,155.508705
400,78,L,155.508705
400,78,L,155.508705
400,78,L,381.703185
400,78,L,392.69875
400,78,W,188.4954
400,78,W,188.4954
400,78,W,314.159
400,78,W,314.159
400,78,W,314.159
400,78,W,376.9908
400,78,W,471.2385
400,78,W,471.2385
400,78,W,565.4862
400,78,W,848.2293
400,78,W,879.6452
400,78,W,1099.5565
400,78,W,1822.1222
400,78,W,5466.3666
400,78,W,6283.18
400,84,G,39481.51552
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,L,263.89356
400,84,W,942.477
400,84,W,1507.9632
400,84,W,1884.954
400,84,W,2042.0335
400,84,W,2261.9448
400,84,W,2261.9448
400,84,W,2419.0243
400,90,G,39240
400,90,W,942.477
400,90,W,1884.954
400,90,W,2387.6084
400,108,G,37528
