Station,Site,Month,Date,Time,Substrate,Axis1,Axis2,Height,Sex,SVL,Marker,Repeat
LasCruces,CULV,Jan,19th,9:30,B,70,90,70,M,59,70,N
LasCruces,CULV,Jan,19th,9:55,B,31,20,19,F,43,64,N
LasCruces,CULV,Jan,19th,10:52,W,3,,16,M,47,36,N
LasCruces,CULV,Jan,19th,16:00,B,19,16,9,M,48,8,N
LasCruces,CULV,Jan,19th,16:30,B,110,71,50,J,29,36,N
LasCruces,CULV,Jan,20th,8:09,G,,,160,F,55,14,N
LasCruces,CULV,Jan,20th,8:12,G,,,140,F,50,18,N
LasCruces,CULV,Jan,20th,8:20,G,,,110,M,69,30,N
LasCruces,CULV,Jan,20th,8:29,B,28,21,37,J,43,32,N
LasCruces,CULV,Jan,20th,8:35,L,10,10,48,J,32,52,N
LasCruces,CULV,Jan,20th,9:05,W,15,,0,M,48,72,N
LasCruces,CULV,Jan,20th,9:15,B,18,19,70,M,69,36,Y
LasCruces,CULV,Jan,20th,14:00,W,4,,30,,,12,N
LasCruces,CULV,Jan,20th,14:35,B,37,29,0,M,60,34,N
LasCruces,CULV,Jan,20th,14:45,B,28,22,20,M,61,52,N
LasCruces,CULV,Jan,20th,15:20,W,2,,35,M,52,114,N
LasCruces,CULV,Jan,20th,15:40,B,40,32,28,M,63,16,N
LasCruces,CULV,Jan,21st,8:40,L,6,12,55,M,69,50,Y
LasCruces,CULV,Jan,21st,8:48,B,4,7,1,F,60,50,N
LasCruces,CULV,Jan,21st,9:00,W,54,,48,M,67,58,N
LasCruces,CULV,Jan,21st,9:25,B,30,70,25,F,51,86,N
LasCruces,CULV,Jan,21st,11:15,W,9,,8,J,36,14,N
LasCruces,CULV,Jan,21st,11:20,B,22,22,4,M,42,12,N
LasCruces,CULV,Jan,21st,11:20,G,,,0,M,66,12,N
LasCruces,CULV,Jan,21st,11:24,W,1,,85,,,6,N
LasCruces,CULV,Jan,21st,11:29,B,40,53,8,J,37,2,N
LasCruces,CULV,Jan,21st,11:29,W,10,,30,M,53,2,N
LasCruces,CULV,Jan,21st,11:39,G,,,0,,,28,N
LasCruces,CULV,Jan,21st,11:46,G,,,100,,,54,N
LasCruces,CULV,Jan,21st,11:50,L,7,16,7,M,60,68,N
LasCruces,DOWN,Jan,19th,14:00,W,16,,130,,,,N
LasCruces,DOWN,Jan,19th,14:20,G,,,0,M,51,,N
LasCruces,DOWN,Jan,19th,14:37,G,,,0,F,59,,N
LasCruces,DOWN,Jan,21st,10:00,G,,,40,M,50,,N
LasCruces,DOWN,Jan,21st,10:05,B,,,70,F,53,,N
LasCruces,DOWN,Jan,21st,10:20,B,47,65,48,F,48,,N
LasCruces,DOWN,Jan,21st,10:20,W,25,,80,M,67,,N
LasCruces,DOWN,Jan,21st,10:27,G,,,85,F,44,,N
LasCruces,DOWN,Jan,21st,10:31,G,,,20,,,,N
LasCruces,DOWN,Jan,21st,10:42,B,26,12,6,,,,N
LasCruces,DOWN,Jan,21st,10:59,W,39,,10,,,,N
LasCruces,DOWN,Jan,21st,13:20,B,6,190,55,M,66,,N
LasCruces,DOWN,Jan,21st,14:00,B,24,42,0,,,,N
LasCruces,DOWN,Jan,21st,14:07,B,16,32,20,,,,N
LasCruces,DOWN,Jan,21st,14:19,B,60,120,40,M,60,,N
LasCruces,EBRA,Jan,19th,11:40,W,3,,2,M,41,,N
